 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
33,33,15,11,11,11,17,33,33,33,33,33,33,33,33,33,33,33,15,11,11,11,17,33,33
 1, 1,13, 9,12,10,14, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,13, 2,19, 2,14, 1, 1
 1, 1,16,12, 5,12,18, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,16,12, 5,12,18, 1, 1
 1, 1,33,33,24,33,33, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,33,33,24,33,33, 1, 1
 1, 1, 1, 1,25,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,27, 1, 1, 1, 1
 1, 1, 1, 1,24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,24, 1, 1, 1, 1
 1, 1, 1, 1,24, 1, 1, 1, 1, 1,15,11,11,11,17, 1, 1, 1, 1, 1,24, 1, 1, 1, 1
 1, 1, 1, 1,24, 1, 1, 1, 1, 1,13, 2, 7, 2,14, 1, 1, 1, 1, 1,24, 1, 1, 1, 1
 1, 1, 1, 1,24, 1, 1, 1, 1, 1,16,12, 5,12,18, 1, 1, 1, 1, 1,24, 1, 1, 1, 1
 1, 1, 1, 1,24, 1, 1, 1, 1, 1,33,33,24,33,33, 1, 1, 1, 1, 1,24, 1, 1, 1, 1
 1, 1, 1, 1,24, 1, 1, 1, 1, 1, 1, 1,24, 1, 1, 1, 1, 1, 1, 1,24, 1, 1, 1, 1
 1, 1, 1, 1,31,23,23,23,26,23,23,23, 3,23,23,23,23,23,23,23,27, 1,15,11,17
 1, 1, 1, 1, 1, 1, 1, 1,24, 1, 1, 1,24, 1, 1, 1, 1, 1, 1, 1,24, 1,13, 2,14
23,23,23,23,23,23,23,23,32, 1, 1, 1,24, 1, 1, 1, 1, 1, 1, 1,24, 1,13,20,14
 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,24, 1, 1, 1, 1, 1, 1, 1,24, 1,16, 5,18
 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,24, 1, 1, 1, 1, 1, 1, 1,31,23,23,28,23
 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
